iter	Logloss
0	0.5959889714
1	0.541426081
2	0.4925315471
3	0.4658540648
4	0.4335479387
5	0.4080449683
6	0.3895045523
7	0.373301301
8	0.3576233302
9	0.3472018808
10	0.3389408457
11	0.3293642036
12	0.3193279029
13	0.3121290099
14	0.3045770543
15	0.3001505792
16	0.2965185163
17	0.2874345288
18	0.2820359118
19	0.2772498211
20	0.2724131114
21	0.2672002859
22	0.2615085928
23	0.2571390875
24	0.2527681742
25	0.24601776
26	0.2419369234
27	0.2385353436
28	0.2337247722
29	0.2298383388
30	0.2259983254
31	0.2235744457
32	0.2193841216
33	0.2162513576
34	0.2135056901
35	0.2116691846
36	0.2086521713
37	0.2072133299
38	0.2049424979
39	0.2008901207
40	0.1987123657
41	0.195261207
42	0.1931658996
43	0.1904083857
44	0.1887412075
45	0.1857807222
46	0.1822336045
47	0.1806691458
48	0.1788343765
49	0.1768489498
50	0.1752285366
51	0.1738395709
52	0.1721621313
53	0.1703369224
54	0.1685679797
55	0.1676496882
56	0.165440388
57	0.1642876939
58	0.1626430732
59	0.1606955519
60	0.1594352152
61	0.1584017188
62	0.1558197805
63	0.1538817822
64	0.1523400036
65	0.1512040449
66	0.1502339669
67	0.1487250683
68	0.1472960781
69	0.1449917623
70	0.1438285674
71	0.1415117154
72	0.1401117971
73	0.1389431884
74	0.1378737018
75	0.1364120631
76	0.1351472298
77	0.1341043775
78	0.1330269235
79	0.1315746621
80	0.1304760813
81	0.1298747016
82	0.1293427937
83	0.1284040642
84	0.1276426958
85	0.1267380348
86	0.1259482033
87	0.1252728512
88	0.1245739977
89	0.1238545944
90	0.1220260166
91	0.1213189365
92	0.1204427411
93	0.11980875
94	0.1192513985
95	0.118041258
96	0.1165693947
97	0.1153848029
98	0.1144831563
99	0.1133511645
100	0.1127519814
101	0.1119536928
102	0.1110669508
103	0.1101592425
104	0.1094665436
105	0.1083817204
106	0.1072621442
107	0.1064118742
108	0.1056877975
109	0.1050219299
110	0.1046139168
111	0.1037910053
112	0.1031749904
113	0.1024868234
114	0.1017973838
115	0.1012701858
116	0.1007052843
117	0.09989373711
118	0.0993029212
119	0.09846948189
120	0.09780769854
121	0.09728341445
122	0.09659538687
123	0.09599592982
124	0.09532377001
125	0.09472543768
126	0.09349106207
127	0.09221977046
128	0.09166574824
129	0.09125612334
130	0.09089938686
131	0.09019720706
132	0.08975104941
133	0.08938315775
134	0.08897213428
135	0.08833928838
136	0.08793322058
137	0.08721692855
138	0.08665260065
139	0.08607117563
140	0.08553059777
141	0.08468143263
142	0.08408885747
143	0.08355396989
144	0.08316917504
145	0.08272189487
146	0.08214859861
147	0.08171076859
148	0.08122491137
149	0.08076969313
150	0.08052347806
151	0.08009795857
152	0.07972028401
153	0.07934095023
154	0.07883807978
155	0.07822095451
156	0.07750504737
157	0.0770216363
158	0.07667522903
159	0.07649314149
160	0.07608815223
161	0.07488124714
162	0.07435381203
163	0.07385049329
164	0.07355324941
165	0.07329747795
166	0.0729978734
167	0.07267608221
168	0.07196252744
169	0.07147210602
170	0.07096129128
171	0.07049489729
172	0.07030565112
173	0.0694313979
174	0.06844899004
175	0.06791019489
176	0.06742307958
177	0.06695269488
178	0.0665403907
179	0.06613395087
180	0.06575710792
181	0.06548056681
182	0.06513078614
183	0.06490188214
184	0.06451234216
185	0.06424502756
186	0.06386345094
187	0.06359476771
188	0.06336484662
189	0.06301137098
190	0.06244733096
191	0.06221013479
192	0.061835333
193	0.06128882287
194	0.06071071229
195	0.060392662
196	0.06007397518
197	0.05960794595
198	0.05929185157
199	0.05891376784
